linea,estacion,direccion,comuna,este,norte,longitud,latitud
L5,CUMMING,Av. Ricardo Cumming 502,SANTIAGO,344899.8884,6298780.8152,-70.668541584,-33.4391645841
L5,SANTA ANA L5,Catedral 1512,SANTIAGO,345841.0,6298895.0,-70.6583892909484,-33.4382596350783
L5,PLAZA DE ARMAS,21 De Mayo 543,SANTIAGO,346563.6763,6299017.3165,-70.6506089474,-33.4372717911
L5,BELLAS ARTES,Mosqueto 515,SANTIAGO,347082.1066,6299091.105,-70.6450213229,-33.436680607
L5,BAQUEDANO L5,Av. Providencia 011,PROVIDENCIA,348033.0,6299017.0,-70.634804,-33.437476
L5,PARQUE BUSTAMANTE,Francisco Bilbao 084,PROVIDENCIA,348345.4083,6298431.9189,-70.6315473827,-33.4428033737
L5,SANTA ISABEL,Santa Isabel N°088,PROVIDENCIA,348457.9574,6297953.78,-70.6304176391,-33.44713023
L5,IRARRAZAVAL,Av. Irarrazaval 351,ÑUÑOA,348673.8683,6297052.9282,-70.6282473189,-33.4552828909
L5,ÑUBLE L5,Carlos Dittborn 300,ÑUÑOA,349023.348,6295714.4052,-70.6247134504,-33.46740043
L5,RODRIGO DE ARAYA,Av. Vicuña Mackenna 2601,MACUL,349265.2686,6294588.0129,-70.6223002472,-33.4775901468
L5,CARLOS VALDOVINOS,Av. Vicuña Mackenna 3745,MACUL,349578.5786,6293607.8024,-70.6190938371,-33.4864718748
L5,CAMINO AGRICOLA,Av. Vicuña Mackenna 3953,MACUL,349736.0743,6293014.0322,-70.6174987351,-33.4918474779
L5,SAN JOAQUIN,Av. Vicuña Mackenna 4861,MACUL,349853.0827,6292454.8416,-70.6163333506,-33.4969056062
L5,PEDRERO,Av. Departamental 1901,MACUL,350235.2066,6291225.0216,-70.6124268393,-33.5080473296
L5,MIRADOR,Av. Vicuña Mackenna Frente A 6420,LA FLORIDA,350822.3862,6290667.6696,-70.6062000679,-33.5131545696
